Loxahatchee River: Southwest Fork- 0.5 mile above entrance,8722494,26.9433,-80.12,Subordinate
Loxahatchee River: Southwest Fork (spillway),8722496,26.935,-80.1433,Subordinate
Lake Worth: North Palm Beach,8722557,26.8267,-80.055,Subordinate
Lake Worth: Port of Palm Beach,8722588,26.77,-80.0517,Harmonic
Lake Worth: Palm Beach,8722607,26.7333,-80.0417,Subordinate
Lake Worth: Palm Beach- Highway 704 bridge,8722621,26.705,-80.045,Subordinate
Lake Worth: West Palm Beach Canal,8722654,26.645,-80.045,Subordinate
Lake Worth: Boynton Beach- Lake Worth,8722706,26.5483,-80.0533,Subordinate
Fort Lauderdale: Bahia Mar Yacht Club,8722939,26.1133,-80.1083,Subordinate
Fort Lauderdale: Andrews Avenue bridge- New River,8722937,26.1183,-80.145,Subordinate
Biscayne Bay: San Marino Island,8723156,25.7933,-80.1633,Subordinate
Biscayne Bay: Miami Miamarina- Biscayne Bay,8723165,25.7783,-80.185,Harmonic
Biscayne Bay: Dodge Island- Fishermans Channel,8723155,25.77,-80.1683,Subordinate
Biscayne Bay: Dinner Key Marina,8723205,25.7267,-80.2367,Subordinate
Biscayne Bay: Atlantic Beach,8720259,30.335,-81.395,Subordinate
Biscayne Bay: Jacksonville Beach,8720291,30.2833,-81.3867,Harmonic
Biscayne Bay: Oak Landing- ICWW,8720305,30.2533,-81.43,Subordinate
Biscayne Bay: Palm Valley- ICWW,8720398,30.1333,-81.3867,Subordinate
Biscayne Bay: Vilano Beach- Tolomato River,8720554,29.9167,-81.3,Harmonic
Biscayne Bay: St. Augustine- city dock,8720576,29.8917,-81.31,Subordinate
Biscayne Bay: St. Augustine Beach,8720587,29.8567,-81.2633,Harmonic
Biscayne Bay: Smith Creek- Flagler Beach,8720833,29.4783,-81.1367,Subordinate
Biscayne Bay: Ormond Beach- Halifax River,8720954,29.285,-81.0533,Subordinate
Biscayne Bay: Daytona Beach Shores- Sunglow Pier,8721120,29.1467,-80.9633,Subordinate
Biscayne Bay: Ponce de Leon Inlet,8721147,29.0633,-80.915,Harmonic
Biscayne Bay: Ponce Inlet- Halifax River,8721138,29.0817,-80.9367,Subordinate
Biscayne Bay: New Smyrna Beach,8721164,29.0233,-80.9183,Harmonic
Biscayne Bay: Packwood Place- Mosquito Lagoon,8721222,28.94,-80.87,Harmonic
